Id,Name,Health,MarketSize,Quantity,TurnActions
EE_A,EliteEnemy_A,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_B,EliteEnemy_B,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_C,EliteEnemy_C,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_D,EliteEnemy_D,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_E,EliteEnemy_E,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
EE_F,EliteEnemy_F,75,2,10,"15,A,12,A,20,D,10,L,12,A,D,20,D,20,A,20,D,L"
